"Year
","Week
","From
","To
","ILI consultation rate (per 1,000 consultations)",,Laboratory surveillance,,,,,,,,No. of ILI outbreaks in schools/institutions,,"Admission rates in public hospitals with principal diagnosis of influenza (per 10,000 people in the age group)",,,,,,,"ILI syndrome group in AED of public hospitals (per 1,000 coded cases)",Percentage of children at sentinel KG/CCC having fever,Percentage of residents at sentinel RCHE having fever,"ILI consultation rate at sentinel CMP (per 1,000 consultations)","Weekly number of severe influenza cases by age groups*
",,,
,,,,Sentinel GOPC^,Sentinel PMP,No. of positive detections of seasonal influenza viruses,,,,Positive% for influenza among all respiratory specimens,,,,"Schools (KG/CCC, PS and SS)",Institutions other than schools,0-5 years,6-11 years,12-17 years,18-49 years,50-64 years,65 years or above,All ages,,,,,0-17 years,18-49 years,50-64 years,65 years or above
,,,,,,A(H1),A(H3),B,All infleunza A and B viruses,A(H1),A(H3),B,All infleunza A and B viruses,,,,,,,,,,,,,,,,,
2016,27,6/26/2016,7/2/2016,,49.1,3,106,38,147,0.10%,3.55%,1.27%,4.93%,3,2,0.435,0.03,0.029,0.003,0.028,0.31,0.08,158.1,0.80%,0.13%,1.81,,,,
2016,28,7/3/2016,7/9/2016,,36.0,3,79,29,111,0.10%,2.56%,0.94%,3.60%,1,2,0.348,0.061,0.029,0.015,0.023,0.189,0.063,147.4,0.72%,0.14%,1.10,,,,
2016,29,7/10/2016,7/16/2016,,45.5,1,82,18,101,0.03%,2.53%,0.56%,3.12%,0,2,0.145,0.121,0,0.018,0.04,0.206,0.063,148.4,0.82%,0.11%,1.79,,,,
2016,30,7/17/2016,7/23/2016,,54.1,1,106,16,123,0.03%,3.31%,0.50%,3.84%,1,3,0.087,0.061,0,0.021,0.04,0.206,0.059,145.6,1.13%,0.15%,1.30,,,,
2016,31,7/24/2016,7/30/2016,,49.2,5,102,15,122,0.16%,3.30%,0.49%,3.95%,0,2,0.261,0.121,0.029,0.012,0.028,0.249,0.071,142.2,Temporarily suspended,0.13%,0.99,,,,
2016,32,7/31/2016,8/6/2016,,25.6,6,115,7,128,0.20%,3.79%,0.23%,4.22%,0,3,0.174,0.061,0.029,0.024,0.034,0.301,0.079,132.1,Temporarily suspended,0.11%,1.41,,,,
2016,33,8/7/2016,8/13/2016,,43.7,6,104,17,127,0.20%,3.42%,0.56%,4.17%,0,1,0.406,0.03,0,0.018,0.04,0.275,0.082,117.2,0.51%,0.12%,1.38,,,,
2016,34,8/14/2016,8/20/2016,,35.4,4,112,13,129,0.14%,3.94%,0.46%,4.53%,0,2,0.406,0.091,0.088,0.018,0.051,0.31,0.097,122.7,0.43%,0.13%,1.64,,,,
2016,35,8/21/2016,8/27/2016,,43.4,6,212,10,228,0.20%,6.91%,0.33%,7.44%,0,4,0.493,0.182,0.029,0.032,0.04,0.413,0.123,136.8,0.58%,0.12%,1.63,,,,
2016,36,8/28/2016,9/3/2016,,50.5,6,202,11,219,0.20%,6.68%,0.36%,7.24%,,,0.609,0.152,0.059,0.027,0.068,0.396,0.13,132.9,0.82%,0.13%,1.63,,,,
2016,37,9/4/2016,9/10/2016,,46.4,1,231,3,235,0.03%,7.60%,0.10%,7.73%,4,2,0.725,0.303,0.117,0.035,0.063,0.499,0.164,139.4,0.60%,0.10%,1.79,,,,
2016,38,9/11/2016,9/17/2016,,47.7,3,466,10,479,0.09%,14.00%,0.30%,14.39%,6,8,1.189,0.455,0.293,0.068,0.142,1.161,0.339,175,0.99%,0.10%,1.61,,,,
2016,39,9/18/2016,9/24/2016,,53.3,7,545,3,555,0.18%,13.86%,0.08%,14.11%,4,10,1.479,0.273,0.293,0.035,0.119,0.954,0.292,169.8,0.94%,0.13%,1.88,0,0,0,1
2016,40,9/25/2016,10/1/2016,,56.2,1,403,4,408,0.03%,12.27%,0.12%,12.42%,5,8,1.305,0.303,0.117,0.027,0.08,0.954,0.263,160.1,0.91%,0.12%,1.61,0,1,0,5
2016,41,10/2/2016,10/8/2016,,52.2,2,450,3,455,0.05%,12.06%,0.08%,12.19%,10,7,1.015,0.152,0.147,0.029,0.08,0.877,0.233,158.5,0.81%,0.13%,1.64,0,0,1,9
2016,42,10/9/2016,10/15/2016,,49.0,0,343,4,347,0.00%,10.21%,0.12%,10.33%,1,4,0.841,0.061,0.147,0.032,0.074,0.619,0.18,158,0.75%,0.09%,1.23,0,2,1,13
2016,43,10/16/2016,10/22/2016,,47.4,1,270,6,277,0.03%,8.70%,0.19%,8.92%,2,4,0.696,0.091,0.059,0.024,0.057,0.645,0.166,150.8,0.69%,0.08%,1.58,0,0,2,12
2016,44,10/23/2016,10/29/2016,,48.6,2,284,4,290,0.06%,8.44%,0.12%,8.62%,5,5,0.87,0.243,0,0.05,0.051,0.49,0.165,135.6,0.62%,0.13%,1.85,0,0,0,9
2016,45,10/30/2016,11/5/2016,,47.7,1,287,1,289,0.03%,8.73%,0.03%,8.79%,6,2,0.667,0.182,0.117,0.018,0.068,0.619,0.168,151.3,0.79%,0.10%,1.59,,,,
2016,46,11/6/2016,11/12/2016,,47.8,1,270,1,272,0.03%,7.91%,0.03%,7.97%,4,3,0.464,0.121,0.059,0.015,0.051,0.524,0.132,151.9,0.73%,0.11%,1.55,,,,
2016,47,11/13/2016,11/19/2016,,54.8,0,251,3,254,0.00%,7.00%,0.08%,7.08%,7,3,0.377,0.182,0.117,0.018,0.091,0.576,0.153,156.4,0.74%,0.07%,1.61,,,,
2016,48,11/20/2016,11/26/2016,,46.4,1,223,1,225,0.03%,6.44%,0.03%,6.50%,4,2,0.638,0.091,0.029,0.024,0.091,0.344,0.123,154.1,0.75%,0.11%,1.78,,,,
2016,49,11/27/2016,12/3/2016,,47.1,2,211,5,218,0.06%,6.00%,0.14%,6.19%,4,1,0.696,0.091,0.029,0.027,0.051,0.456,0.135,159.1,0.74%,0.09%,0.80,,,,
2016,50,12/4/2016,12/10/2016,,50.8,1,193,2,196,0.03%,5.28%,0.05%,5.36%,5,1,0.319,0.182,0.117,0.021,0.051,0.43,0.119,169,0.76%,0.07%,1.64,,,,
2016,51,12/11/2016,12/17/2016,,48.3,1,173,17,191,0.03%,4.57%,0.45%,5.04%,9,0,0.551,0.303,0.029,0.021,0.028,0.284,0.102,166.8,0.70%,0.09%,1.82,,,,
2016,52,12/18/2016,12/24/2016,,30.9,3,150,7,160,0.08%,4.10%,0.19%,4.38%,5,1,0.609,0.182,0,0.015,0.068,0.232,0.097,160.1,0.68%,0.13%,1.53,,,,
2016,53,12/25/2016,12/31/2016,,35.4,2,211,7,220,0.06%,6.01%,0.20%,6.27%,1,0,0.841,0.303,0.088,0.032,0.034,0.301,0.128,165.3,Temporarily suspended,0.07%,1.53,,,,
2017,1,1/1/2017,1/7/2017,,40.9,12,212,8,232,0.32%,5.61%,0.21%,6.14%,1,1,1.094,0.203,0.091,0.053,0.051,0.337,0.156,164.1,0.49%,0.13%,1.78,,,,
2017,2,1/8/2017,1/14/2017,,33.5,21,279,22,322,0.53%,6.98%,0.55%,8.05%,6,1,1.272,0.523,0.03,0.044,0.056,0.354,0.176,154.7,0.58%,0.08%,1.91,,,,
2017,3,1/15/2017,1/21/2017,,39.4,16,288,3,307,0.42%,7.62%,0.08%,8.12%,3,3,1.183,0.435,0.061,0.062,0.084,0.469,0.203,150.9,0.70%,0.10%,1.60,,,,
2017,4,1/22/2017,1/28/2017,,39.9,24,261,19,304,0.69%,7.53%,0.55%,8.78%,1,4,0.976,0.348,0.121,0.041,0.107,0.387,0.175,175.1,0.63%,0.10%,1.28,,,,
2017,5,1/29/2017,2/4/2017,,28.1,35,320,20,375,0.79%,7.26%,0.45%,8.51%,,,1.006,0.319,0,0.041,0.073,0.486,0.177,184.4,Temporarily suspended,0.10%,1.02,,,,
2017,6,2/5/2017,2/11/2017,,48.9,25,317,14,356,0.61%,7.72%,0.34%,8.67%,1,0,1.183,0.406,0.121,0.036,0.084,0.593,0.212,156.1,0.44%,0.09%,1.89,,,,
2017,7,2/12/2017,2/18/2017,,56.0,18,342,22,382,0.43%,8.13%,0.52%,9.08%,10,3,1.183,0.406,0.212,0.038,0.095,0.626,0.226,159.7,0.78%,0.16%,2.07,,,,
2017,8,2/19/2017,2/25/2017,,51.9,22,345,28,395,0.51%,7.98%,0.65%,9.14%,11,8,1.331,0.494,0.243,0.038,0.084,0.626,0.235,157.4,0.81%,0.11%,2.00,0,0,0,1
2017,9,2/26/2017,3/4/2017,,54.5,30,329,20,379,0.73%,8.02%,0.49%,9.24%,18,5,1.124,0.552,0.243,0.027,0.079,0.658,0.227,173,0.97%,0.10%,2.32,1,2,3,9
2017,10,3/5/2017,3/11/2017,,59.1,16,308,28,352,0.38%,7.30%,0.66%,8.34%,9,2,1.035,0.494,0.243,0.027,0.112,0.519,0.206,169.7,0.78%,0.08%,2.04,0,1,2,11
2017,11,3/12/2017,3/18/2017,,58.1,19,255,31,305,0.46%,6.12%,0.74%,7.32%,5,0,1.035,0.348,0.152,0.059,0.067,0.346,0.17,166.7,0.92%,0.08%,1.01,0,0,1,3
2017,12,3/19/2017,3/25/2017,,55.7,37,220,31,288,0.90%,5.37%,0.76%,7.03%,5,2,0.887,0.348,0.091,0.03,0.101,0.346,0.156,169.9,0.76%,0.10%,2.58,0,0,1,5
2017,13,3/26/2017,4/1/2017,,44.6,35,150,44,229,0.85%,3.64%,1.07%,5.56%,7,4,0.621,0.174,0.03,0.018,0.084,0.288,0.114,175.9,0.77%,0.10%,1.33,1,0,3,13
2017,14,4/2/2017,4/8/2017,,56.9,35,154,37,226,0.86%,3.77%,0.91%,5.53%,6,1,0.739,0.319,0.03,0.044,0.079,0.288,0.137,186.2,0.83%,0.07%,0.91,3,0,1,4
2017,15,4/9/2017,4/15/2017,,39.2,30,124,46,200,0.94%,3.87%,1.44%,6.25%,1,3,0.887,0.232,0.03,0.038,0.022,0.255,0.118,171.5,0.65%,0.13%,1.04,0,0,2,4
2017,16,4/16/2017,4/22/2017,,31.6,84,244,68,396,1.70%,4.93%,1.37%,8.00%,0,1,0.828,0.174,0.121,0.053,0.146,0.313,0.162,166.1,0.88%,0.11%,2.02,,,,
2017,17,4/23/2017,4/29/2017,,49.9,128,224,39,391,3.24%,5.67%,0.99%,9.90%,2,2,1.39,0.29,0.212,0.036,0.107,0.387,0.192,156.4,0.54%,0.08%,0.83,,,,
2017,18,4/30/2017,5/6/2017,,54.2,145,238,51,434,3.52%,5.78%,1.24%,10.53%,5,2,1.42,0.61,0.212,0.053,0.123,0.609,0.257,169.6,0.76%,0.10%,1.55,0,0,1,5
2017,19,5/7/2017,5/13/2017,,50.7,126,314,54,494,3.03%,7.55%,1.30%,11.88%,8,7,1.863,0.581,0.243,0.077,0.213,0.741,0.331,166.9,0.72%,0.09%,1.84,1,0,6,5
2017,20,5/14/2017,5/20/2017,,55.7,125,421,40,586,2.86%,9.64%,0.92%,13.42%,19,8,1.893,0.464,0.182,0.101,0.264,1.029,0.395,179.3,0.80%,0.14%,1.52,2,1,6,7
2017,21,5/21/2017,5/27/2017,,50.8,95,471,52,618,2.15%,10.68%,1.18%,14.01%,17,6,2.011,0.871,0.364,0.08,0.208,1.095,0.415,179.8,0.59%,0.21%,1.61,1,3,3,10
2017,22,5/28/2017,6/3/2017,,55.8,107,566,58,731,2.28%,12.07%,1.24%,15.58%,17,12,2.159,0.61,0.212,0.071,0.297,1.169,0.433,183.8,0.90%,0.17%,1.89,4,0,2,12
2017,23,6/4/2017,6/10/2017,,44.3,96,540,35,671,2.15%,12.12%,0.79%,15.06%,10,9,1.568,0.494,0.091,0.101,0.258,1.144,0.395,165.5,0.73%,0.13%,1.85,1,0,4,13
2017,24,6/11/2017,6/17/2017,,51.5,80,596,38,714,1.81%,13.46%,0.86%,16.12%,6,10,1.775,0.523,0.091,0.124,0.213,1.457,0.457,165.3,0.76%,0.13%,2.00,1,0,2,14
2017,25,6/18/2017,6/24/2017,,57.3,58,820,35,913,1.31%,18.46%,0.79%,20.56%,24,6,2.81,1.045,0.243,0.171,0.303,2.107,0.686,178.5,0.77%,0.09%,1.85,0,1,4,16
2017,26,6/25/2017,7/1/2017,,67.3,79,1414,34,1527,1.62%,28.96%,0.70%,31.27%,18,22,5.856,1.655,0.395,0.278,0.533,3.58,1.207,199.9,1.03%,0.16%,1.75,0,2,5,26
2017,27,7/2/2017,7/8/2017,,59.8,97,2026,68,2191,1.58%,32.93%,1.11%,35.61%,18,24,6.892,1.568,0.334,0.234,0.471,4.666,1.391,207.6,0.92%,0.15%,2.15,0,3,11,25
2017,28,7/9/2017,7/15/2017,,65.5,108,2560,73,2741,1.60%,37.91%,1.08%,40.59%,11,33,9.139,1.393,0.607,0.307,0.875,6.395,1.913,231.2,0.89%,0.20%,2.10,3,1,9,62
2017,29,7/16/2017,7/22/2017,,76.4,102,2496,52,2650,1.49%,36.50%,0.76%,38.75%,1,40,7.335,1.103,0.486,0.272,0.69,6.197,1.718,231.8,1.25%,0.19%,2.93,4,4,12,49
2017,30,7/23/2017,7/29/2017,,72.4,42,2326,34,2402,0.62%,34.25%,0.50%,35.37%,1,38,4.939,1.161,0.364,0.284,0.656,5.679,1.518,230.8,Temporarily suspended,0.12%,2.56,1,5,5,61
2017,31,7/30/2017,8/5/2017,,63.9,21,1391,37,1449,0.37%,24.23%,0.64%,25.24%,2,13,3.461,0.377,0.091,0.148,0.353,3.226,0.863,174.6,Temporarily suspended,0.15%,2.05,1,1,8,48
2017,32,8/6/2017,8/12/2017,,57.0,23,852,32,907,0.45%,16.71%,0.63%,17.79%,0,12,2.07,0.494,0.091,0.106,0.252,2.025,0.564,153.2,0.58%,0.09%,1.90,0,2,6,57
2017,33,8/13/2017,8/19/2017,,53.6,47,489,45,581,1.02%,10.65%,0.98%,12.66%,0,7,1.508,0.348,0.121,0.089,0.14,1.317,0.381,137.2,0.47%,0.11%,1.85,0,3,5,23
2017,34,8/20/2017,8/26/2017,,52.3,25,299,50,374,0.59%,7.10%,1.19%,8.88%,0,2,1.035,0.174,0.061,0.038,0.118,0.626,0.207,137.1,Temporarily suspended,0.13%,1.95,0,1,0,18
2017,35,8/27/2017,9/2/2017,,38.1,17,121,43,181,0.44%,3.16%,1.12%,4.72%,0,2,0.769,0.116,0.091,0.038,0.084,0.428,0.153,123.5,0.51%,0.10%,0.83,0,2,0,13
2017,36,9/3/2017,9/9/2017,,42.8,25,69,38,132,0.66%,1.83%,1.01%,3.50%,0,3,0.444,0.145,0.091,0.027,0.073,0.346,0.118,127.6,0.42%,0.12%,1.70,,,,
2017,37,9/10/2017,9/16/2017,,48.7,25,57,59,141,0.62%,1.41%,1.46%,3.48%,3,3,0.473,0.232,0,0.036,0.067,0.379,0.127,147.1,0.83%,0.10%,1.71,,,,
2017,38,9/17/2017,9/23/2017,,47.3,7,49,52,108,0.17%,1.19%,1.26%,2.62%,5,0,0.532,0.261,0.061,0.021,0.034,0.173,0.085,156.6,0.70%,0.11%,1.80,,,,
2017,39,9/24/2017,9/30/2017,,42.4,9,22,45,76,0.23%,0.56%,1.15%,1.95%,2,0,0.444,0.203,0.03,0.03,0.022,0.148,0.074,150.8,0.60%,0.11%,0.78,,,,
2017,40,10/1/2017,10/7/2017,,39.4,10,13,32,55,0.28%,0.37%,0.90%,1.54%,1,1,0.414,0.058,0.061,0.012,0.017,0.14,0.057,152.6,0.64%,0.14%,0.91,,,,
2017,41,10/8/2017,10/14/2017,,34.0,7,26,49,82,0.18%,0.68%,1.28%,2.14%,2,1,0.296,0.203,0.091,0.027,0.011,0.165,0.069,143,0.78%,0.11%,1.20,,,,
2017,42,10/15/2017,10/21/2017,,43.7,2,26,41,69,0.05%,0.71%,1.12%,1.89%,1,0,0.266,0.145,0.03,0.003,0.006,0.082,0.037,138.7,0.67%,0.09%,1.94,,,,
2017,43,10/22/2017,10/28/2017,,40.1,7,17,50,74,0.21%,0.51%,1.49%,2.21%,4,0,0.325,0.232,0.03,0.012,0.006,0.123,0.054,148.3,0.86%,0.10%,1.03,,,,
2017,44,10/29/2017,11/4/2017,,37.8,9,27,62,98,0.22%,0.65%,1.49%,2.35%,1,2,0.325,0.29,0,0.015,0.017,0.099,0.056,156.2,0.78%,0.09%,1.15,,,,
2017,45,11/5/2017,11/11/2017,,43.8,2,21,54,77,0.05%,0.54%,1.39%,1.98%,5,1,0.266,0.116,0.03,0.012,0.039,0.041,0.041,150.5,0.75%,0.08%,2.08,,,,
2017,46,11/12/2017,11/18/2017,,39.5,8,11,48,67,0.21%,0.29%,1.27%,1.77%,2,0,0.207,0.116,0,0.012,0.028,0.041,0.034,146.1,0.63%,0.09%,2.16,,,,
2017,47,11/19/2017,11/25/2017,,43.2,14,9,58,81,0.38%,0.25%,1.58%,2.21%,1,0,0.355,0.319,0,0.015,0.028,0.115,0.064,144.5,0.67%,0.06%,1.33,,,,
2017,48,11/26/2017,12/2/2017,,35.4,11,23,69,103,0.29%,0.61%,1.82%,2.72%,5,0,0.503,0.261,0.061,0.012,0.039,0.115,0.072,149.5,0.80%,0.09%,2.28,,,,
2017,49,12/3/2017,12/9/2017,,41.4,9,15,85,109,0.23%,0.39%,2.19%,2.81%,3,1,0.532,0.261,0.091,0.015,0.051,0.198,0.092,156,0.72%,0.10%,1.96,,,,
2017,50,12/10/2017,12/16/2017,,42.4,18,18,104,140,0.44%,0.44%,2.54%,3.42%,5,0,0.414,0.29,0.061,0.021,0.067,0.189,0.092,160.8,0.60%,0.09%,0.86,,,,
2017,51,12/17/2017,12/23/2017,,38.5,13,24,172,209,0.32%,0.59%,4.21%,5.12%,3,0,0.858,0.494,0.152,0.05,0.056,0.296,0.154,169.3,0.45%,0.09%,2.24,,,,
2017,52,12/24/2017,12/30/2017,,32.2,41,34,343,418,0.91%,0.75%,7.59%,9.25%,0,2,1.745,1.074,0.121,0.068,0.095,0.519,0.275,194.8,Temporarily suspended,0.08%,2.35,,,,
2018,1,12/31/2017,1/6/2018,,39.8,80,74,528,682,1.71%,1.58%,11.25%,14.54%,1,3,3.551,1.082,0.215,0.116,0.255,0.757,0.46,207.1,0.77%,0.08%,1.24,0,2,4,13
2018,2,1/7/2018,1/13/2018,,57.8,86,57,681,824,1.68%,1.12%,13.34%,16.14%,24,2,4.408,1.47,0.43,0.14,0.216,1.206,0.604,195.6,0.69%,0.08%,1.02,1,0,5,18
2018,3,1/14/2018,1/20/2018,,70.0,179,118,1346,1643,2.49%,1.64%,18.76%,22.90%,73,11,7.469,3.161,0.706,0.282,0.62,2.823,1.269,235.8,1.60%,0.09%,2.78,2,8,10,21
2018,4,1/21/2018,1/27/2018,,76.8,164,96,1681,1941,2.17%,1.27%,22.23%,25.67%,94,15,9.03,3.439,1.044,0.351,0.786,2.783,1.43,245.7,1.43%,0.09%,2.54,6,5,10,36
2018,5,1/28/2018,2/3/2018,,75.4,175,83,1492,1750,2.37%,1.12%,20.16%,23.65%,105,8,7.285,3.688,0.891,0.232,0.553,2.389,1.182,237.4,1.24%,0.07%,2.14,2,4,11,42
2018,6,2/4/2018,2/10/2018,,71.3,270,78,1614,1962,3.23%,0.93%,19.33%,23.50%,89,17,7.132,3.522,1.505,0.33,0.747,3.288,1.438,260.3,0.96%,0.12%,2.54,2,6,20,48
2018,7,2/11/2018,2/17/2018,,36.4,221,65,1391,1677,3.50%,1.03%,22.00%,26.53%,8,20,7.01,2.135,0.676,0.357,0.857,4.053,1.499,274.7,Temporarily suspended,0.12%,0.00,0,9,19,55
2018,8,2/18/2018,2/24/2018,,57.4,418,80,1978,2476,4.34%,0.83%,20.52%,25.69%,0,16,7.53,1.498,0.614,0.306,0.719,3.911,1.408,254.3,Temporarily suspended,0.12%,1.52,2,2,14,54
2018,9,2/25/2018,3/3/2018,,47.9,389,58,1064,1511,5.28%,0.79%,14.45%,20.52%,13,6,5.785,1.47,0.307,0.277,0.564,2.965,1.104,205.6,0.57%,0.13%,2.50,0,5,14,51
2018,10,3/4/2018,3/10/2018,,40.2,328,40,692,1060,5.15%,0.63%,10.85%,16.63%,46,8,4.683,1.193,0.491,0.155,0.332,1.814,0.743,178.1,0.73%,0.10%,2.28,2,0,3,27
2018,11,3/11/2018,3/17/2018,,45.3,260,35,430,725,4.60%,0.62%,7.60%,12.82%,20,10,3.398,0.832,0.246,0.098,0.271,1.041,0.488,172,0.71%,0.13%,2.09,3,0,5,28
2018,12,3/18/2018,3/24/2018,,44.5,185,32,268,485,3.41%,0.59%,4.94%,8.94%,8,3,2.235,0.555,0.154,0.086,0.188,0.71,0.337,165.9,0.74%,0.08%,2.19,0,1,4,14
2018,13,3/25/2018,3/31/2018,,35.9,75,16,135,226,1.88%,0.40%,3.39%,5.67%,3,1,0.949,0.333,0.031,0.045,0.111,0.489,0.189,167.3,0.71%,0.12%,1.49,0,1,1,19
2018,14,4/1/2018,4/7/2018,,21.8,77,24,114,215,1.32%,0.41%,1.96%,3.69%,,,0.643,0.166,0.123,0.036,0.055,0.244,0.113,156.6,Temporarily suspended,0.08%,1.34,1,0,0,13
2018,15,4/8/2018,4/14/2018,,25.1,78,28,47,153,1.73%,0.62%,1.04%,3.40%,1,0,0.643,0.166,0.031,0.051,0.061,0.197,0.109,147.7,0.46%,0.11%,1.00,0,0,0,6
2018,16,4/15/2018,4/21/2018,,41.4,53,16,17,86,1.23%,0.37%,0.39%,2.00%,3,0,0.367,0.25,0.031,0.027,0.072,0.079,0.073,144.1,0.51%,0.07%,1.67,0,1,1,3
2018,17,4/22/2018,4/28/2018,,47.1,70,21,20,111,1.61%,0.48%,0.46%,2.55%,3,3,0.337,0.166,0.031,0.024,0.044,0.063,0.056,149.3,0.51%,0.10%,1.51,1,1,2,4
2018,18,4/29/2018,5/5/2018,,46.9,55,15,24,94,1.27%,0.35%,0.55%,2.17%,1,0,0.459,0.111,0.031,0.006,0.055,0.071,0.055,153.8,0.74%,0.11%,1.68,0,1,1,4
2018,19,5/6/2018,5/12/2018,,42.9,40,14,18,72,0.95%,0.33%,0.43%,1.71%,2,0,0.276,0.111,0,0.009,0.011,0.079,0.038,145.7,0.60%,0.09%,1.45,0,2,0,2
2018,20,5/13/2018,5/19/2018,,41.6,35,15,3,53,0.81%,0.35%,0.07%,1.22%,3,0,0.367,0.083,0.031,0.009,0.022,0.095,0.047,144.4,0.55%,0.09%,1.51,0,0,0,2
2018,21,5/20/2018,5/26/2018,,38.9,30,20,8,58,0.71%,0.47%,0.19%,1.37%,1,0,0.184,0.028,0,0.009,0.011,0.039,0.023,146.5,0.85%,0.12%,1.13,1,2,0,1
2018,22,5/27/2018,6/2/2018,,38.3,32,12,4,48,0.76%,0.29%,0.10%,1.14%,1,1,0.092,0.083,0.031,0.006,0.017,0.071,0.028,138.2,0.72%,0.11%,1.55,1,0,0,2
2018,23,6/3/2018,6/9/2018,,39.2,39,15,4,58,0.97%,0.37%,0.10%,1.45%,1,1,0.184,0.083,0.031,0.006,0.022,0.079,0.035,132.2,0.83%,0.10%,0.70,0,0,1,1
2018,24,6/10/2018,6/16/2018,,31.8,43,6,4,53,1.05%,0.15%,0.10%,1.29%,1,1,0.214,0.083,0,0.012,0.017,0.095,0.039,131.4,0.60%,0.07%,1.64,0,1,0,2
2018,25,6/17/2018,6/23/2018,,41.2,37,6,1,44,0.94%,0.15%,0.03%,1.12%,1,1,0.153,0.083,0,0.015,0.011,0.063,0.031,139,0.77%,0.08%,1.44,0,0,1,3
2018,26,6/24/2018,6/30/2018,,37.1,17,11,4,32,0.43%,0.28%,0.10%,0.80%,,,0.061,0.166,0.061,0.006,0.022,0.047,0.03,132.8,0.65%,0.14%,0.46,0,0,0,2
2018,27,7/1/2018,7/7/2018,,41.8,26,34,8,68,0.68%,0.89%,0.21%,1.77%,1,1,0.367,0.139,0.061,0.015,0.011,0.055,0.044,135,0.72%,0.12%,1.35,0,0,1,0
2018,28,7/8/2018,7/14/2018,,41.0,85,20,3,108,2.21%,0.52%,0.08%,2.81%,3,1,0.582,0.166,0.123,0.009,0.033,0.095,0.067,129.9,0.68%,0.08%,1.57,1,0,2,1
2018,29,7/15/2018,7/21/2018,,31.0,97,18,6,121,2.29%,0.42%,0.14%,2.86%,2,1,0.643,0.25,0,0.021,0.033,0.063,0.068,129.7,0.78%,0.06%,1.32,0,0,0,2
2018,30,7/22/2018,7/28/2018,,25.5,67,19,2,88,1.64%,0.47%,0.05%,2.16%,,,0.49,0.111,0.061,0.021,0.011,0.055,0.051,124.2,Temporarily suspended,0.09%,1.30,0,0,0,2
2018,31,7/29/2018,8/4/2018,,17.3,66,4,2,72,1.62%,0.10%,0.05%,1.77%,,,0.398,0.083,0.031,0.021,0.028,0.079,0.052,122.9,Temporarily suspended,0.07%,1.70,0,1,0,1
2018,32,8/5/2018,8/11/2018,,19.1,55,18,2,75,1.31%,0.43%,0.05%,1.79%,,,0.429,0.028,0.123,0.021,0.028,0.071,0.054,126.8,0.67%,0.09%,1.45,0,0,0,2
2018,33,8/12/2018,8/18/2018,,36.4,89,27,4,120,2.15%,0.65%,0.10%,2.89%,2,1,0.49,0.361,0.031,0.021,0.039,0.134,0.082,122.5,0.69%,0.12%,1.49,0,0,0,0
2018,34,8/19/2018,8/25/2018,,44.2,78,24,1,103,1.86%,0.57%,0.02%,2.46%,1,1,0.735,0.194,0.031,0.021,0.044,0.15,0.089,129.9,Temporarily suspended,0.09%,2.07,1,0,0,4
2018,35,8/26/2018,9/1/2018,,37.2,51,46,0,97,1.20%,1.08%,0.00%,2.29%,,,0.306,0.083,0.031,0.015,0.044,0.158,0.063,126.2,0.57%,0.09%,1.55,0,1,1,0
2018,36,9/2/2018,9/8/2018,,48.2,61,68,3,132,1.45%,1.62%,0.07%,3.14%,1,1,0.612,0.277,0.031,0.018,0.039,0.174,0.089,133.9,0.64%,0.07%,0.69,0,0,0,4
2018,37,9/9/2018,9/15/2018,,31.7,73,60,0,133,1.69%,1.39%,0.00%,3.08%,4,2,0.612,0.166,0,0.024,0.055,0.15,0.085,142.1,0.70%,0.09%,1.04,0,0,2,0
2018,38,9/16/2018,9/22/2018,,18.5,74,39,1,114,1.85%,0.98%,0.03%,2.86%,1,0,0.612,0.083,0,0.015,0.044,0.103,0.066,139.4,0.87%,0.06%,1.99,0,0,1,3
2018,39,9/23/2018,9/29/2018,,18.6,92,47,0,139,2.25%,1.15%,0.00%,3.40%,1,0,0.765,0.139,0.031,0.033,0.039,0.166,0.094,143,0.73%,0.08%,0.75,0,0,0,6
2018,40,30/09/2018,06/10/2018,,32.3,114,27,3,144,2.71%,0.64%,0.07%,3.43%,1,0,1.01,0.222,0.061,0.009,0.028,0.134,0.091,145.8,0.74%,0.10%,1.45,0,0,0,2
2018,41,10/7/2018,10/13/2018,,27.0,72,22,1,95,1.67%,0.51%,0.02%,2.21%,6,0,0.704,0.083,0,0.009,0.039,0.087,0.063,134.7,0.75%,0.10%,1.48,0,0,2,4
2018,42,10/14/2018,10/20/2018,,30.5,49,19,0,68,1.22%,0.47%,0.00%,1.70%,3,0,0.429,0.083,0.031,0.006,0,0.095,0.043,137.6,0.70%,0.06%,2.01,0,1,1,1
2018,43,10/21/2018,10/27/2018,,32.1,60,22,4,86,1.41%,0.52%,0.09%,2.02%,3,1,0.612,0.139,0,0.018,0.028,0.087,0.063,140.4,0.72%,0.10%,1.57,0,0,0,0
2018,44,28/10/2018,03/11/2018,,39.6,96,31,4,131,2.16%,0.70%,0.09%,2.94%,2,1,0.704,0.277,0.061,0.018,0.039,0.166,0.093,160.8,1.01%,0.06%,1.17,1,0,1,1
2018,45,11/4/2018,11/10/2018,,31.2,100,53,8,161,2.19%,1.16%,0.18%,3.53%,6,0,0.673,0.527,0.061,0.015,0.044,0.237,0.115,147.7,0.67%,0.09%,1.73,0,0,0,0
