system:index,COUNTY_NAM,mean
201502_00000000000000000029,Santa Barbara,13.664898425407282
201502_0000000000000000003a,Santa Barbara,
201502_0000000000000000003b,Santa Barbara,15.960504150390648
201502_0000000000000000003c,Santa Barbara,15.290069761258575
201502_0000000000000000003d,Santa Barbara,15.088281250000023
201502_0000000000000000003e,Santa Barbara,15.601198784147904
201502_0000000000000000002a,Santa Clara,13.076842537313372
201502_0000000000000000002b,Santa Cruz,13.63200932796632
201502_0000000000000000002c,Shasta,8.44434663345366
201502_0000000000000000002d,Sierra,5.1236601417835095
201502_0000000000000000002e,Siskiyou,5.780234510309088
201502_0000000000000000002f,Solano,13.509885375916687
201502_00000000000000000030,Sonoma,12.599863568310091
201502_00000000000000000031,Stanislaus,12.892460550754452
201502_00000000000000000032,Sutter,13.624119505687966
201502_00000000000000000033,Tehama,11.03790754074553
201502_00000000000000000034,Trinity,7.937621047420796
201502_00000000000000000035,Tulare,8.98330786805924
201502_00000000000000000036,Tuolumne,5.869950585155336
201502_00000000000000000037,Ventura,12.844290893246455
201502_0000000000000000003f,Ventura,15.736178215630641
201502_00000000000000000040,Ventura,15.702630615234398
201502_00000000000000000041,Ventura,15.702630615234398
201502_00000000000000000042,Ventura,
201502_00000000000000000038,Yolo,13.592984347387215
201502_00000000000000000039,Yuba,12.20225509629798
201503_00000000000000000000,Alameda,14.74911836440014
201503_00000000000000000001,Alpine,4.099510777891885
201503_00000000000000000002,Amador,12.199820818749362
201503_00000000000000000003,Butte,13.956756890716822
201503_00000000000000000004,Calaveras,12.806418740321941
201503_00000000000000000005,Colusa,15.65821370935585
201503_00000000000000000006,Contra Costa,15.244056560187966
201503_00000000000000000007,Del Norte,10.226280252986477
201503_00000000000000000008,El Dorado,10.082213825141196
201503_00000000000000000009,Fresno,12.075132919025334
201503_0000000000000000000a,Glenn,14.311513499314898
201503_0000000000000000000b,Humboldt,10.61758477871266
201503_0000000000000000000c,Imperial,22.186940522282786
201503_0000000000000000000d,Inyo,13.485287752215257
201503_0000000000000000000e,Kern,15.663597241071727
201503_0000000000000000000f,Kings,18.582096568697626
201503_00000000000000000010,Lake,12.679655914810256
201503_00000000000000000011,Lassen,6.98825247421191
201503_00000000000000000012,Los Angeles,16.224978147242773
201503_00000000000000000043,Los Angeles,16.81780171998792
201503_00000000000000000044,Los Angeles,16.648201199235608
201503_00000000000000000013,Madera,11.655853808770182
201503_00000000000000000014,Marin,13.596847445508782
201503_00000000000000000015,Mariposa,10.898320941001696
201503_00000000000000000016,Mendocino,12.001074842915916
201503_00000000000000000017,Merced,16.34461316734966
201503_00000000000000000018,Modoc,6.811247699070216
201503_00000000000000000019,Mono,4.181437390143654
201503_0000000000000000001a,Monterey,14.507746066166943
201503_0000000000000000001b,Napa,14.839407831968323
201503_0000000000000000001c,Nevada,9.7217579290046
201503_0000000000000000001d,Orange,18.183316290844125
201503_0000000000000000001e,Placer,10.249483894686346
201503_0000000000000000001f,Plumas,7.042871070253016
201503_00000000000000000020,Riverside,18.916831362015465
201503_00000000000000000021,Sacramento,15.96881634757554
201503_00000000000000000022,San Benito,15.159789702726172
201503_00000000000000000023,San Bernardino,17.92685250682323
201503_00000000000000000024,San Diego,17.07560715726451
201503_00000000000000000025,San Francisco,13.934205285167579
201503_00000000000000000026,San Joaquin,15.821198010706231
201503_00000000000000000027,San Luis Obispo,16.124997926629685
201503_00000000000000000028,San Mateo,14.151719092149493
201503_00000000000000000029,Santa Barbara,15.322278462475957
201503_0000000000000000003a,Santa Barbara,
201503_0000000000000000003b,Santa Barbara,16.449243164062523
201503_0000000000000000003c,Santa Barbara,15.237136031170305
201503_0000000000000000003d,Santa Barbara,15.083581542968773
201503_0000000000000000003e,Santa Barbara,16.185372030152585
201503_0000000000000000002a,Santa Clara,14.664545801571787
201503_0000000000000000002b,Santa Cruz,14.275376917812705
201503_0000000000000000002c,Shasta,10.256635509807202
201503_0000000000000000002d,Sierra,6.686984299050844
201503_0000000000000000002e,Siskiyou,7.6785021422439295
201503_0000000000000000002f,Solano,15.617986635207846
201503_00000000000000000030,Sonoma,13.41423513910904
201503_00000000000000000031,Stanislaus,15.749203151461566
201503_00000000000000000032,Sutter,16.88828518115272
201503_00000000000000000033,Tehama,12.878028317087823
201503_00000000000000000034,Trinity,9.18737524618698
201503_00000000000000000035,Tulare,10.91682675646325
201503_00000000000000000036,Tuolumne,7.150313968263864
201503_00000000000000000037,Ventura,14.718441279247582
201503_0000000000000000003f,Ventura,15.847271421144356
201503_00000000000000000040,Ventura,17.132226562500023
201503_00000000000000000041,Ventura,17.132226562500023
201503_00000000000000000042,Ventura,
201503_00000000000000000038,Yolo,16.3742935058174
201503_00000000000000000039,Yuba,14.562992985470022
201504_00000000000000000000,Alameda,14.251750369323865
201504_00000000000000000001,Alpine,3.467701172357515
201504_00000000000000000002,Amador,12.065689310032644
201504_00000000000000000003,Butte,14.975184887994775
201504_00000000000000000004,Calaveras,12.660657776955816
201504_00000000000000000005,Colusa,16.469294779164944
201504_00000000000000000006,Contra Costa,15.278712660990914
201504_00000000000000000007,Del Norte,9.51043533480003
201504_00000000000000000008,El Dorado,9.66568129069879
201504_00000000000000000009,Fresno,12.516998252755277
201504_0000000000000000000a,Glenn,15.088824421614694
201504_0000000000000000000b,Humboldt,9.629787349359782
201504_0000000000000000000c,Imperial,22.87585394336182
201504_0000000000000000000d,Inyo,14.372266991784299
201504_0000000000000000000e,Kern,15.776331966730872
201504_0000000000000000000f,Kings,19.16519717799024
201504_00000000000000000010,Lake,12.425583714987733
201504_00000000000000000011,Lassen,7.440829659317127
201504_00000000000000000012,Los Angeles,15.610498147308968
201504_00000000000000000043,Los Angeles,15.986575102470313
201504_00000000000000000044,Los Angeles,15.746051604172301
201504_00000000000000000013,Madera,11.895553137029799
201504_00000000000000000014,Marin,13.000552552895188
201504_00000000000000000015,Mariposa,10.816133435922145
201504_00000000000000000016,Mendocino,11.39267115445645
201504_00000000000000000017,Merced,17.13119467091475
201504_00000000000000000018,Modoc,7.411746113495969
201504_00000000000000000019,Mono,4.400256488231862
201504_0000000000000000001a,Monterey,13.56146184735257
201504_0000000000000000001b,Napa,15.158172365754151
201504_0000000000000000001c,Nevada,9.681365321637127
201504_0000000000000000001d,Orange,17.31412414704943
201504_0000000000000000001e,Placer,10.083486829963034
201504_0000000000000000001f,Plumas,7.341060179019296
201504_00000000000000000020,Riverside,19.182459476913987
201504_00000000000000000021,Sacramento,17.03259095427631
201504_00000000000000000022,San Benito,14.306043806029706
201504_00000000000000000023,San Bernardino,18.272425765997777
201504_00000000000000000024,San Diego,16.537993005148248
201504_00000000000000000025,San Francisco,13.04819559409203
201504_00000000000000000026,San Joaquin,16.531734000197922
201504_00000000000000000027,San Luis Obispo,15.247311516554449
201504_00000000000000000028,San Mateo,13.12200312485637
