system:index,IDDIST,mean
20100118_0000000000000000000a,170301,25.069381765510645
20100118_00000000000000000001,170101,24.67218961948262
20100118_00000000000000000002,170104,24.663218827034054
20100118_00000000000000000003,170102,24.101356298335098
20100118_00000000000000000007,170103,25.220583635848538
20100119_00000000000000000004,170201,22.489593880213057
20100119_00000000000000000005,170203,24.18015275412719
20100119_00000000000000000006,170204,23.23987311458422
20100119_00000000000000000009,170202,24.606025480744215
20100119_00000000000000000000,170302,25.944057742607285
20100119_00000000000000000008,170303,25.78892109680315
20100119_0000000000000000000a,170301,25.35548222360999
20100119_00000000000000000001,170101,24.9840208745471
20100119_00000000000000000002,170104,25.174705604864453
20100119_00000000000000000003,170102,24.49787514061776
20100119_00000000000000000007,170103,25.605887050398835
20100120_00000000000000000004,170201,22.88049379207299
20100120_00000000000000000005,170203,24.448624831000732
20100120_00000000000000000006,170204,23.24691542752133
20100120_00000000000000000009,170202,25.02259209527964
20100120_00000000000000000000,170302,25.63432407639442
20100120_00000000000000000008,170303,25.76729438801943
20100120_0000000000000000000a,170301,25.49217354420121
20100120_00000000000000000001,170101,25.31597389711813
20100120_00000000000000000002,170104,25.310066993224357
20100120_00000000000000000003,170102,24.486467296481056
20100120_00000000000000000007,170103,25.837559782710283
20100121_00000000000000000004,170201,21.855199618392675
20100121_00000000000000000005,170203,22.948035846075456
20100121_00000000000000000006,170204,22.02143773161322
20100121_00000000000000000009,170202,24.277780277361707
20100121_00000000000000000000,170302,24.81274339334961
20100121_00000000000000000008,170303,24.809639675393278
20100121_0000000000000000000a,170301,25.277160242886293
20100121_00000000000000000001,170101,24.41806220522152
20100121_00000000000000000002,170104,23.971478868152538
20100121_00000000000000000003,170102,23.250394430610257
20100121_00000000000000000007,170103,24.639223266492365
20100122_00000000000000000004,170201,21.208268340225736
20100122_00000000000000000005,170203,23.121844645507213
20100122_00000000000000000006,170204,22.460196751830555
20100122_00000000000000000009,170202,22.878877435516703
20100122_00000000000000000000,170302,23.452971375831165
20100122_00000000000000000008,170303,23.650084530667897
20100122_0000000000000000000a,170301,23.80545431618717
20100122_00000000000000000001,170101,23.761813993599265
20100122_00000000000000000002,170104,24.127350877437063
20100122_00000000000000000003,170102,23.92542570754247
20100122_00000000000000000007,170103,24.08565052602877
20100123_00000000000000000004,170201,22.264056137127813
20100123_00000000000000000005,170203,24.625640812993367
20100123_00000000000000000006,170204,23.876076174968684
20100123_00000000000000000009,170202,24.347569730569784
20100123_00000000000000000000,170302,24.931473214485827
20100123_00000000000000000008,170303,24.815617643032503
20100123_0000000000000000000a,170301,24.86200861930522
20100123_00000000000000000001,170101,25.44330590398488
20100123_00000000000000000002,170104,25.73357868404527
20100123_00000000000000000003,170102,25.60008011989322
20100123_00000000000000000007,170103,25.628558285171586
20100124_00000000000000000004,170201,21.1947982548005
20100124_00000000000000000005,170203,23.119836258019554
20100124_00000000000000000006,170204,23.101404984664107
20100124_00000000000000000009,170202,23.247970071192995
20100124_00000000000000000000,170302,24.072845628440902
20100124_00000000000000000008,170303,23.994983824940572
20100124_0000000000000000000a,170301,24.104068903120965
20100124_00000000000000000001,170101,24.236560215116718
20100124_00000000000000000002,170104,24.29560342820471
20100124_00000000000000000003,170102,25.023111932000678
20100124_00000000000000000007,170103,24.33672970684885
20100125_00000000000000000004,170201,21.303712188581162
20100125_00000000000000000005,170203,23.578404047110805
20100125_00000000000000000006,170204,23.074210441426338
20100125_00000000000000000009,170202,23.420449708409723
20100125_00000000000000000000,170302,24.012406072470114
20100125_00000000000000000008,170303,24.00785515384891
20100125_0000000000000000000a,170301,23.984026398863925
20100125_00000000000000000001,170101,24.151601741501995
20100125_00000000000000000002,170104,24.64529668972012
20100125_00000000000000000003,170102,24.488321459480773
20100125_00000000000000000007,170103,24.271880588409793
20100126_00000000000000000004,170201,21.697263653192213
20100126_00000000000000000005,170203,24.09339373729753
20100126_00000000000000000006,170204,23.405264592970628
20100126_00000000000000000009,170202,23.653240258333774
20100126_00000000000000000000,170302,25.069246860408704
20100126_00000000000000000008,170303,25.091631172347633
20100126_0000000000000000000a,170301,24.707151207350854
20100126_00000000000000000001,170101,24.765405908553248
20100126_00000000000000000002,170104,25.488676858536337
20100126_00000000000000000003,170102,25.131194614317074
20100126_00000000000000000007,170103,25.12105450133819
20100127_00000000000000000004,170201,21.432106948855317
20100127_00000000000000000005,170203,23.220332441209045
20100127_00000000000000000006,170204,22.69109356347483
20100127_00000000000000000009,170202,23.486687520427427
20100127_00000000000000000000,170302,24.25550302608561
20100127_00000000000000000008,170303,23.995689421863027
20100127_0000000000000000000a,170301,24.653585287999373
20100127_00000000000000000001,170101,24.005786747640983
20100127_00000000000000000002,170104,24.141761155363984
20100127_00000000000000000003,170102,24.00953627416216
20100127_00000000000000000007,170103,24.085246457715428
20100128_00000000000000000004,170201,21.452855115160084
20100128_00000000000000000005,170203,23.024735089275666
20100128_00000000000000000006,170204,22.359915627623018
20100128_00000000000000000009,170202,23.128240452405358
20100128_00000000000000000000,170302,24.401747752260214
20100128_00000000000000000008,170303,24.515690341975336
20100128_0000000000000000000a,170301,24.035683762254532
20100128_00000000000000000001,170101,24.064332018910125
20100128_00000000000000000002,170104,24.41001116050773
20100128_00000000000000000003,170102,24.06390881956427
20100128_00000000000000000007,170103,24.55925421024533
20100129_00000000000000000004,170201,21.93823996100599
20100129_00000000000000000005,170203,23.49823823786747
20100129_00000000000000000006,170204,22.43845388157101
20100129_00000000000000000009,170202,24.131315316064217
20100129_00000000000000000000,170302,24.66343749681118
20100129_00000000000000000008,170303,24.99309867434976
20100129_0000000000000000000a,170301,24.45659989403003
20100129_00000000000000000001,170101,24.88724184709285
20100129_00000000000000000002,170104,25.242337717676815
20100129_00000000000000000003,170102,24.508686407457375
20100129_00000000000000000007,170103,25.490500017111994
20100130_00000000000000000004,170201,22.385681593298308
20100130_00000000000000000005,170203,24.183532431180907
20100130_00000000000000000006,170204,23.283771251955322
20100130_00000000000000000009,170202,24.756901246693328
20100130_00000000000000000000,170302,25.361043663554845
20100130_00000000000000000008,170303,25.46119654191355
20100130_0000000000000000000a,170301,25.71113718030525
20100130_00000000000000000001,170101,25.313508208580064
20100130_00000000000000000002,170104,25.368022846422015
20100130_00000000000000000003,170102,24.849802670117988
20100130_00000000000000000007,170103,25.5512266089945
20100131_00000000000000000004,170201,22.701609993792758
20100131_00000000000000000005,170203,24.740759893748656
20100131_00000000000000000006,170204,23.65172906011034
20100131_00000000000000000009,170202,25.45730936675933
20100131_00000000000000000000,170302,25.405986540983307
20100131_00000000000000000008,170303,25.466503521493095
20100131_0000000000000000000a,170301,25.833898957668676
20100131_00000000000000000001,170101,25.754797470701703
20100131_00000000000000000002,170104,25.589157701115443
20100131_00000000000000000003,170102,25.142368762162047
20100131_00000000000000000007,170103,25.740971545539544
20100201_00000000000000000004,170201,23.084777053167013
20100201_00000000000000000005,170203,25.011164441141293
20100201_00000000000000000006,170204,24.10408270918477
20100201_00000000000000000009,170202,25.833349963237083
20100201_00000000000000000000,170302,25.58512384869773
20100201_00000000000000000008,170303,25.548274815308886
20100201_0000000000000000000a,170301,25.67695219029132
20100201_00000000000000000001,170101,25.790826082627394
20100201_00000000000000000002,170104,25.772366725569807
20100201_00000000000000000003,170102,25.31650205997611
20100201_00000000000000000007,170103,25.729275828249314
20100202_00000000000000000004,170201,22.81113481353206
20100202_00000000000000000005,170203,24.856686481072174
20100202_00000000000000000006,170204,23.970818568639533
20100202_00000000000000000009,170202,25.364867370847147
20100202_00000000000000000000,170302,25.822707416690143
20100202_00000000000000000008,170303,25.74818609884927
20100202_0000000000000000000a,170301,26.164657653150787
20100202_00000000000000000001,170101,25.844037923940448
20100202_00000000000000000002,170104,25.864891547602152
20100202_00000000000000000003,170102,25.271285705554067
20100202_00000000000000000007,170103,25.921427339383616
20100203_00000000000000000004,170201,23.272853063230873
20100203_00000000000000000005,170203,25.39855587116489
20100203_00000000000000000006,170204,24.607635453469236
20100203_00000000000000000009,170202,25.61146835145055
20100203_00000000000000000000,170302,26.114984401186756
20100203_00000000000000000008,170303,26.081492701309156
20100203_0000000000000000000a,170301,25.909865370778682
20100203_00000000000000000001,170101,25.946258843122163
20100203_00000000000000000002,170104,26.123267435321665
20100203_00000000000000000003,170102,25.851111745084847
20100203_00000000000000000007,170103,26.111642545197338
20100204_00000000000000000004,170201,23.624436089431857
20100204_00000000000000000005,170203,25.667459542602852
20100204_00000000000000000006,170204,24.830749047355084
20100204_00000000000000000009,170202,25.743517622607758
20100204_00000000000000000000,170302,26.13979932741733
20100204_00000000000000000008,170303,26.351633448541083
20100204_0000000000000000000a,170301,25.747241329299083
20100204_00000000000000000001,170101,26.344137095235375
20100204_00000000000000000002,170104,26.62887702433092
20100204_00000000000000000003,170102,26.087852634052254
20100204_00000000000000000007,170103,26.79066975276728
20100205_00000000000000000004,170201,22.52532702577857
20100205_00000000000000000005,170203,24.608224791040886
20100205_00000000000000000006,170204,23.556430916201926
20100205_00000000000000000009,170202,24.236923632858634
20100205_00000000000000000000,170302,25.27637798644787
20100205_00000000000000000008,170303,25.185566752892516
20100205_0000000000000000000a,170301,25.18238910619417
20100205_00000000000000000001,170101,25.227799679074923
20100205_00000000000000000002,170104,25.38234738010807
20100205_00000000000000000003,170102,24.724248791714597
20100205_00000000000000000007,170103,25.47263513824365
20100206_00000000000000000004,170201,22.229081579918443
20100206_00000000000000000005,170203,23.78391597569689
20100206_00000000000000000006,170204,22.714356952295912
20100206_00000000000000000009,170202,23.59771609587758
20100206_00000000000000000000,170302,24.140559672731573
20100206_00000000000000000008,170303,24.155714264522118
20100206_0000000000000000000a,170301,23.852322720796824
20100206_00000000000000000001,170101,24.189550261662102
20100206_00000000000000000002,170104,24.761065530549654
20100206_00000000000000000003,170102,24.04149948939807
20100206_00000000000000000007,170103,24.49187403845923
20100207_00000000000000000004,170201,22.89405231809181
20100207_00000000000000000005,170203,25.03399501927611
20100207_00000000000000000006,170204,24.110766793813497
20100207_00000000000000000009,170202,24.688509502613698
20100207_00000000000000000000,170302,25.211189549077705
20100207_00000000000000000008,170303,25.36479542122183
20100207_0000000000000000000a,170301,24.762145579994197
20100207_00000000000000000001,170101,25.600212063096755
20100207_00000000000000000002,170104,26.201875520059858
20100207_00000000000000000003,170102,25.615358052171057
20100207_00000000000000000007,170103,25.76723872540801
20100208_00000000000000000004,170201,23.793315469502968
20100208_00000000000000000005,170203,26.243103187555995
20100208_00000000000000000006,170204,25.170759048178404
20100208_00000000000000000009,170202,26.30088459012807
20100208_00000000000000000000,170302,26.353442978583217
20100208_00000000000000000008,170303,26.47962470819289
20100208_0000000000000000000a,170301,26.04179948168798
20100208_00000000000000000001,170101,26.77047711548369
20100208_00000000000000000002,170104,27.359297786364397
20100208_00000000000000000003,170102,26.90743777513545
20100208_00000000000000000007,170103,26.80880264824707
20100209_00000000000000000004,170201,24.114800577250932
20100209_00000000000000000005,170203,26.218103092408253
20100209_00000000000000000006,170204,24.716905204329553
20100209_00000000000000000009,170202,26.339498130558372
20100209_00000000000000000000,170302,26.549165926562665
20100209_00000000000000000008,170303,26.64169568899511
20100209_0000000000000000000a,170301,26.520664138605312
20100209_00000000000000000001,170101,26.835667015622953
20100209_00000000000000000002,170104,27.304316792462025
20100209_00000000000000000003,170102,26.634143012687723
20100209_00000000000000000007,170103,26.959865439224753
20100210_00000000000000000004,170201,24.054848924979026
20100210_00000000000000000005,170203,26.44316534692584
20100210_00000000000000000006,170204,24.68849927319997
20100210_00000000000000000009,170202,26.467716114976174
20100210_00000000000000000000,170302,26.79683689035496
20100210_00000000000000000008,170303,26.823012422210954
20100210_0000000000000000000a,170301,26.67653061982291
20100210_00000000000000000001,170101,27.174512335017226
20100210_00000000000000000002,170104,27.59504580636116
20100210_00000000000000000003,170102,26.630279839033076
20100210_00000000000000000007,170103,27.15313677826773
20100211_00000000000000000004,170201,23.689695173604004
20100211_00000000000000000005,170203,25.944985523426006
20100211_00000000000000000006,170204,24.31415049798156
20100211_00000000000000000009,170202,26.06766207288439
20100211_00000000000000000000,170302,26.36454164616944
20100211_00000000000000000008,170303,26.285805803333815
20100211_0000000000000000000a,170301,26.332208096009694
20100211_00000000000000000001,170101,26.522222625183996
20100211_00000000000000000002,170104,27.006577492849292
20100211_00000000000000000003,170102,25.969323400554025
20100211_00000000000000000007,170103,26.595714581218637
20100212_00000000000000000004,170201,21.80405040918179
20100212_00000000000000000005,170203,23.88391866284902
20100212_00000000000000000006,170204,23.118579785073422
20100212_00000000000000000009,170202,23.75141008240928
20100212_00000000000000000000,170302,25.22000192007599
20100212_00000000000000000008,170303,25.057267352641336
20100212_0000000000000000000a,170301,25.164095758470914
20100212_00000000000000000001,170101,24.64219685503955
20100212_00000000000000000002,170104,24.943030838851595
20100212_00000000000000000003,170102,24.852663482396515
20100212_00000000000000000007,170103,25.009595944588266
20100213_00000000000000000004,170201,23.381117800410603
20100213_00000000000000000005,170203,25.960994850679683
20100213_00000000000000000006,170204,25.294894847552882
20100213_00000000000000000009,170202,25.426797644092808
20100213_00000000000000000000,170302,26.04743576175867
20100213_00000000000000000008,170303,26.002445309188165
20100213_0000000000000000000a,170301,26.086563361083837
20100213_00000000000000000001,170101,26.345535901743478
20100213_00000000000000000002,170104,26.858639587172433
20100213_00000000000000000003,170102,26.804477255843963
20100213_00000000000000000007,170103,26.287100637810124
20100214_00000000000000000004,170201,23.426797176009774
20100214_00000000000000000005,170203,25.2515446040091
20100214_00000000000000000006,170204,24.47607312529798
20100214_00000000000000000009,170202,25.80979948506256
20100214_00000000000000000000,170302,25.66101071555165
20100214_00000000000000000008,170303,25.66303974610624
20100214_0000000000000000000a,170301,26.23565413211734
20100214_00000000000000000001,170101,26.03423683810803
20100214_00000000000000000002,170104,25.95007525700063
20100214_00000000000000000003,170102,25.746175981112717
20100214_00000000000000000007,170103,25.769922985276754
20100215_00000000000000000004,170201,22.686825438373994
20100215_00000000000000000005,170203,24.47759753287735
20100215_00000000000000000006,170204,23.829612412289787
20100215_00000000000000000009,170202,24.7075537541835
20100215_00000000000000000000,170302,25.634952791191946
20100215_00000000000000000008,170303,25.448501691162964
20100215_0000000000000000000a,170301,25.933275151754415
20100215_00000000000000000001,170101,25.230609421944322
20100215_00000000000000000002,170104,25.160555601605584
20100215_00000000000000000003,170102,24.815867820409675
20100215_00000000000000000007,170103,25.44508765718804
20100216_00000000000000000004,170201,22.72881272293613
20100216_00000000000000000005,170203,24.285317423362642
20100216_00000000000000000006,170204,23.462374612590285
20100216_00000000000000000009,170202,24.300820026759027
20100216_00000000000000000000,170302,24.672702432231763
20100216_00000000000000000008,170303,24.851207970860244
20100216_0000000000000000000a,170301,24.776451980367593
20100216_00000000000000000001,170101,24.950582824242243
20100216_00000000000000000002,170104,25.22607682309094
20100216_00000000000000000003,170102,24.67454967693503
20100216_00000000000000000007,170103,25.144986558702904
20100217_00000000000000000004,170201,22.51678320426912
20100217_00000000000000000005,170203,23.855188966808466
20100217_00000000000000000006,170204,23.13540380483224
20100217_00000000000000000009,170202,24.57880698487889
20100217_00000000000000000000,170302,25.046109074433346
20100217_00000000000000000008,170303,24.912506109062804
20100217_0000000000000000000a,170301,24.84903649028539
20100217_00000000000000000001,170101,24.712034695137135
20100217_00000000000000000002,170104,24.832599539882825
20100217_00000000000000000003,170102,24.643690252358184
20100217_00000000000000000007,170103,24.965387152843757
20100218_00000000000000000004,170201,22.868470707715225
20100218_00000000000000000005,170203,24.778096874243108
20100218_00000000000000000006,170204,24.144548795087147
20100218_00000000000000000009,170202,25.321011687091577
20100218_00000000000000000000,170302,25.254719935688506
20100218_00000000000000000008,170303,25.35134137141087
20100218_0000000000000000000a,170301,25.14602709516769
20100218_00000000000000000001,170101,25.620107857194505
20100218_00000000000000000002,170104,25.95698690812426
20100218_00000000000000000003,170102,25.750082394617408
20100218_00000000000000000007,170103,25.626263573831835
20100219_00000000000000000004,170201,23.289315379228356
20100219_00000000000000000005,170203,25.42900920232405
20100219_00000000000000000006,170204,24.120439971375685
20100219_00000000000000000009,170202,25.90499829778183
20100219_00000000000000000000,170302,26.125095916583728
20100219_00000000000000000008,170303,26.212296932952054
20100219_0000000000000000000a,170301,25.90181630426274
20100219_00000000000000000001,170101,26.543453654971305
20100219_00000000000000000002,170104,26.86920230516772
20100219_00000000000000000003,170102,25.954098994518272
20100219_00000000000000000007,170103,26.57914050408654
20100220_00000000000000000004,170201,22.980506165226476
20100220_00000000000000000005,170203,25.11312982354309
20100220_00000000000000000006,170204,24.368985349573066
20100220_00000000000000000009,170202,25.108007300788017
20100220_00000000000000000000,170302,25.742967086272838
20100220_00000000000000000008,170303,26.060093000484002
20100220_0000000000000000000a,170301,25.69426044674863
20100220_00000000000000000001,170101,26.140262132746447
20100220_00000000000000000002,170104,26.31077323685445
20100220_00000000000000000003,170102,25.93156006701318
20100220_00000000000000000007,170103,26.450792624652358
20100221_00000000000000000004,170201,22.400140697317244
20100221_00000000000000000005,170203,24.488671211326896
20100221_00000000000000000006,170204,23.794572627710558
20100221_00000000000000000009,170202,24.45582894346596
20100221_00000000000000000000,170302,25.003621936557913
20100221_00000000000000000008,170303,25.1434567558611
20100221_0000000000000000000a,170301,24.972635113509828
20100221_00000000000000000001,170101,25.21366486333462
20100221_00000000000000000002,170104,25.533710337400933
20100221_00000000000000000003,170102,25.18929665509394
20100221_00000000000000000007,170103,25.474250817718463
20100222_00000000000000000004,170201,21.76676344774367
20100222_00000000000000000005,170203,23.742056876300765
20100222_00000000000000000006,170204,23.087864803551692
20100222_00000000000000000009,170202,23.858152991502006
20100222_00000000000000000000,170302,24.683399596102557
20100222_00000000000000000008,170303,24.968397804518112
20100222_0000000000000000000a,170301,24.438164083997595
20100222_00000000000000000001,170101,25.001483335823593
20100222_00000000000000000002,170104,25.055933566876263
20100222_00000000000000000003,170102,24.95916568142267
20100222_00000000000000000007,170103,25.24878117384049
20100223_00000000000000000004,170201,22.022029080814537
20100223_00000000000000000005,170203,24.43415218079948
20100223_00000000000000000006,170204,23.540645610706566
20100223_00000000000000000009,170202,24.242327663213544
20100223_00000000000000000000,170302,24.300977529468938
20100223_00000000000000000008,170303,24.68669275818244
20100223_0000000000000000000a,170301,24.835017669979596
20100223_00000000000000000001,170101,25.274478420179822
20100223_00000000000000000002,170104,25.529937443392782
20100223_00000000000000000003,170102,25.155741887145926
20100223_00000000000000000007,170103,25.282093112222412
20100224_00000000000000000004,170201,22.327302654141672
20100224_00000000000000000005,170203,24.391964205183015
20100224_00000000000000000006,170204,23.315262858309218
20100224_00000000000000000009,170202,24.05074267882611
20100224_00000000000000000000,170302,25.755877795405326
20100224_00000000000000000008,170303,25.712843505570397
20100224_0000000000000000000a,170301,25.630335535831627
20100224_00000000000000000001,170101,25.118701508369902
20100224_00000000000000000002,170104,25.35086075705705
20100224_00000000000000000003,170102,24.866340165547033
